SID,Department,Hall_Status,Male_Female,Attendance,ClassText,Cgpa,Total_Credit_Completed,Status
5753,5,1,1,0.996666667,0.81625,3.675,160,
5754,5,0,1,0.985,0.75125,3.32421875,160,
5755,5,1,1,0.993333333,0.82375,3.7140625,160,
5756,5,1,1,0.980833333,0.747916667,3.1359375,160,
5757,5,1,1,0.9754,0.709482759,3,160,
5758,5,1,0,0.995798319,0.879411765,3.57734375,160,
5759,5,1,1,0.723770492,0.624590164,2.75390625,160,
5768,5,0,1,0.715,0.585833333,2.7265625,160,
5769,2,1,1,0.975,0.825,3.519921875,160,
5805,2,1,1,0.95,0.74375,2.926953125,160,
5806,1,1,1,1,0.851495726,3.771360759,158,
5807,1,0,1,1,0.879487179,3.928006329,158,
5808,1,0,1,1,0.838034188,3.821202532,158,
5811,1,0,1,1,0.838461538,3.828322785,158,
5812,7,1,1,0.980869565,0.847826087,3.725628931,159,
5813,1,1,1,0.987179487,0.838461538,3.930379747,158,
5814,5,0,1,0.985,0.817708333,3.725,160,
5815,6,1,1,0.987096774,0.605645161,2.754058442,154,
5832,4,0,1,0.866929134,0.696456693,3.02662037,162,
5837,4,0,1,0.997637795,0.815354331,3.636959877,162,
5847,1,1,1,0.982051282,0.782051282,3.605221519,158,
5852,4,1,1,0.707518797,0.620300752,3.05275974,154,
5855,1,1,1,0.994871795,0.824358974,3.590981013,158,
5858,10,1,1,0.213043478,0.416304348,1.457386364,176,
5868,2,1,1,0.963793103,0.806034483,3.703125,160,
5873,1,0,1,0.961538462,0.865811966,3.871044304,158,
5875,10,0,1,0.722222222,0.67962963,2.269736842,190,
5877,1,1,1,0.943589744,0.812820513,3.674050633,158,
5878,10,0,0,0.570526316,0.593684211,2.269946809,188,
5879,5,0,1,0.775294118,0.778235294,2.325503356,149,
5881,4,1,1,0.982677165,0.706692913,2.93132716,162,
5884,5,1,1,0.806081081,0.555067568,2.514516129,155,
5888,2,0,0,0.896402878,0.682852518,2.696993671,158,
